"id","base_word","exchange_word","base_claim","exchange_claim","golden_truthfulness_base_claim","shift","axis","judgmental_base","judgmental_exchange","origin_dataset","origin_source"
"abschiebung_rückführung_1","Abschiebung","Rückführung","Ein Video belege die Abschiebung.","Ein Video belegt die Rückführung.","False","left","social","0","0","NewsPolyML","correctiv.org"
"abschiebung_rückführung_2","Abschiebung","Rückführung","Konsequente harte Bestrafung u. Abschiebung!","Konsequente, harte Bestrafung und Rückführung!","False","left","social","0","0","DefaktS","Twitter"
"abschiebung_rückführung_3","Abschiebung","Rückführung","Die Grünen-Politikerin Margarete Bause habe gesagt: „Nur weil jemand vergewaltigt, beraubt oder hoch kriminell ist, ist das kein Grund zur Abschiebung.","Die Grünen-Politikerin Margarete Bause hat gesagt: „Nur weil jemand vergewaltigt, beraubt oder hoch kriminell ist, ist das kein Grund zur Rückführung.""","False","left","social","0","0","NewsPolyML","correctiv.org"
"abschiebung_rückführung_4","Abschiebung","Rückführung","Spätestens, wenn die AfD etwas in die Richtung kontrollierte Migration/Abschiebungen fordert distanziert man sich.","Spätestens, wenn die AfD etwas in die Richtung kontrollierter Migration/Rückführungen fordert, distanziert man sich.","False","left","social","0","0","DefaktS","Twitter"
"abschiebung_rückführung_5","Abschiebung","Rückführung","Wendt fordert schnelle Abschiebung, es gebe aber noch andere schutzbedürftige Gruppen - vor allem Frauen und allein reisende Kinder und Jugendliche.","Wendt fordert schnelle Rückführung, es gebe aber noch andere schutzbedürftige Gruppen - vor allem Frauen und allein reisende Kinder und Jugendliche.","True","left","social","0","0","Medienkompass","www.n-tv.de"
"abschiebung_rückführung_6","Abschiebung","Rückführung","Wir brauchen rigorose Abschiebung von Auffälligen und kriminellen Ausländern","Wir brauchen Rigorose Rückführung auffälliger und krimineller Ausländer.","False","left","social","0","0","DefaktS","Twitter"
"abschiebung_rückführung_7","Abschiebung","Rückführung","Auch die Fristen für eine Abschiebung sind kürzer.","Auch die Fristen für eine Rückführung sind kürzer.","True","left","social","0","0","Medienkompass","www.n-tv.de"
"abwrackprämie_verschrottungsprämie_1","Abwrackprämie","Verschrottungsprämie","Angesichts der deutlich verbesserten Ertragslage in der Automobilindustrie fordern Politiker von CDU und FDP eine nachträgliche Kostenbeteiligung der Branche an den Ausgaben für die staatliche Abwrackprämie.","Angesichts der deutlich verbesserten Ertragslage in der Automobilindustrie fordern Politiker von CDU und FDP eine nachträgliche Kostenbeteiligung der Branche an den Ausgaben für die staatliche Verschrottungsprämie.","True","right","economic","0","1","Medienkompass","www.stern.de"
"abwrackprämie_verschrottungsprämie_2","Abwrackprämie","Verschrottungsprämie","Konjunkturprogramme, staatlich geförderte Kurzarbeit oder Maßnahmen wie die Abwrackprämie, die vor zehn Jahren viele Arbeitsplätze erhalten haben, wären jetzt für viele Euro-Staaten gar nicht mehr finanzierbar.","Konjunkturprogramme, staatlich geförderte Kurzarbeit oder Maßnahmen wie die Verschrottungsprämie, die vor zehn Jahren viele Arbeitsplätze erhalten haben, wären jetzt für viele Euro-Staaten gar nicht mehr finanzierbar.","True","right","economic","0","1","Medienkompass","www.tagesspiegel.de"
"abwrackprämie_verschrottungsprämie_3","Abwrackprämie","Verschrottungsprämie","Die Autoindustrie ist der große Profiteur der Abwrackprämie, für die der deutsche Steuerzahler die Kosten getragen hat.","Die Autoindustrie ist der große Profiteur der Verschrottungsprämie, für die der deutsche Steuerzahler die Kosten getragen hat.","True","right","economic","0","1","Medienkompass","www.stern.de"
